setting,seed,method,N_train,N_test,D,Q_true,Q,n,standardize_x,jump_amp,noise_std,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,cem_jgp_elapsed_sec,cem_map_train_time_sec,cem_vi_train_time_sec,median_capture_ratio_top_Q_truth,median_subspace_cos_to_truth,vi_anchor_var_mean,vi_best_loss,vi_kl,vi_query_var_mean
train200_q5,0,cem_em_transductive_vi_fullcov_ensemble,200,200,50,5,5,25,True,1.5,0.1,1.8967991592289333,1.2246397733688354,472.7491201000521,0.38,1.893324158140095,0.45,2.256034883718978,ok,79.6879388000234,309.32206989999395,83.73911140003474,1.0,0.3630547821521759,0.0028028907254338264,155.60743713378906,24917.62890625,0.0028998295310884714
train200_q5,1,cem_em_transductive_vi_fullcov_ensemble,200,200,50,5,5,25,True,1.5,0.1,1.5861155402540146,0.9778347611427307,458.00003070000093,0.585,2.640962003443658,0.64,3.1469003238189224,ok,74.89743240003008,298.1942532999674,84.90834500000346,1.0,0.3037305772304535,0.003898386377841234,180.4967498779297,24951.7734375,0.003989463206380606
train200_q5,2,cem_em_transductive_vi_fullcov_ensemble,200,200,50,5,5,25,True,1.5,0.1,1.6752995351345437,1.0669975280761719,471.76608440000564,0.49,2.32225052942626,0.54,2.767132178922342,ok,77.94753579999087,301.63143340003444,92.18711519998033,1.0,0.3541766554117203,0.002905583009123802,146.74627685546875,25046.1484375,0.003005894599482417
train200_q5,3,cem_em_transductive_vi_fullcov_ensemble,200,200,50,5,5,25,True,1.5,0.1,1.8005494344630875,1.1898454427719116,467.8283342999057,0.49,2.455771057134717,0.52,2.9262317007383802,ok,78.09224509994965,305.73812039999757,83.99796879995847,1.0,0.33537568151950836,0.0024976134300231934,158.09239196777344,25324.2421875,0.0025879894383251667
train200_q5,4,cem_em_transductive_vi_fullcov_ensemble,200,200,50,5,5,25,True,1.5,0.1,1.7155648072101093,1.0490496158599854,459.4175468000467,0.56,2.545478248808217,0.61,3.0331244126206878,ok,77.29835100000491,298.22682889999123,83.89236690005055,1.0,0.33145497739315033,0.0023705309722572565,173.3259735107422,25538.6953125,0.0024647314567118883
train500_q5,0,cem_em_transductive_vi_fullcov_ensemble,500,200,50,5,5,25,True,1.5,0.1,1.5912444028946977,0.9804593920707703,457.83175579999806,0.58,2.490696457966566,0.61,2.9678478826614594,ok,75.24772149999626,298.1284387999913,84.45559550001053,1.0,0.3616447299718857,0.003009666223078966,145.1898956298828,25631.408203125,0.003101374488323927
train500_q5,1,cem_em_transductive_vi_fullcov_ensemble,500,200,50,5,5,25,True,1.5,0.1,1.5239222384891211,0.9190725088119507,462.23529049998615,0.615,2.5178258275248804,0.655,3.0001745203551264,ok,78.50219800003106,299.83055739995325,83.90253510000184,1.0,0.3939342498779297,0.002516812179237604,171.4852294921875,24373.1484375,0.002611168660223484
train500_q5,2,cem_em_transductive_vi_fullcov_ensemble,500,200,50,5,5,25,True,1.5,0.1,1.6408137746049019,1.030712366104126,531.0810750999954,0.475,1.9436608669835322,0.525,2.3160147717873567,ok,85.01901059999363,354.6998375999974,91.36222690000432,1.0,0.40676556527614594,0.0032049743458628654,153.01776123046875,25801.353515625,0.003303165314719081
train500_q5,3,cem_em_transductive_vi_fullcov_ensemble,500,200,50,5,5,25,True,1.5,0.1,1.7267819880075488,1.103717565536499,536.3462105999934,0.48,2.063726374518295,0.535,2.45908164819374,ok,87.08522000000812,357.3783147999784,91.88267580000684,1.0,0.3820125013589859,0.002465975470840931,170.2845458984375,24927.3828125,0.0025632637552917004
train500_q5,4,cem_em_transductive_vi_fullcov_ensemble,500,200,50,5,5,25,True,1.5,0.1,1.6547415723520338,0.9747732281684875,518.8433745999355,0.615,2.703077143514206,0.69,3.2209150783466978,ok,79.80207909998717,346.7345515000052,92.30674399994314,1.0,0.38148196041584015,0.0027916510589420795,153.74447631835938,25190.693359375,0.0028770575299859047
