setting,family,expansion,caseno,seed,method,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n,standardize_x,noise_std,noise_var,lengthscale,kernel_var,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,cem_jgp_elapsed_sec,cem_map_train_time_sec,cem_vi_train_time_sec,dkl_epochs,lmjgp_steps,n_bad_sig2,pca_explained_variance_sum,truth_diag_skipped,vi_anchor_var_mean,vi_best_loss,vi_kl,vi_query_var_mean,xgb_boots
l2_q2_train1000,L2_phantom,rff,6,4,dkl_svgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.550861120223999,1.7035585641860962,1.7291056999820285,0.325,2.015379894664145,0.39,2.4014732642373833,ok,,,,80,,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,4,jgp_pca,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.7338345389548646,1.501634120941162,13.315479999990202,0.735,5.816699762802544,0.815,6.931025263995728,ok,,,,,,0,0.77472363393185,,,,,,
l2_q2_train1000,L2_phantom,rff,6,4,lmjgp_baseline,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.571538209915161,1.4183286428451538,78.91614198684692,0.775,6.13278268577834,0.86,7.307661297141665,ok,,,,,300,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,4,lmjgp_pls_kl,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.6282241344451904,1.4486910104751587,78.94893449998926,0.765,6.238588820916674,0.845,7.433737083349378,ok,,,,,300,,,True,,,,,
l2_q2_train1000,L2_phantom,rff,6,4,cem_em_transductive_vi_fullcov_ensemble,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.6230090066780134,1.4556103944778442,416.5206897999742,0.76,6.040225050661843,0.845,7.197372072404537,ok,45.694969000003766,272.40634970000247,98.41937109996798,,,,,,0.007882309146225452,650.7472534179688,117702.15625,-0.003075978485867381,
lh_q5_train1000,LH,rff,0,0,xgb_bootstrap,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,763.5349040772493,449.22186279296875,12.000721199961845,0.635,665.6016853668582,0.645,793.1133263122206,ok,,,,,,,,,,,,,30
lh_q5_train1000,LH,rff,0,0,dkl_svgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,658.75146484375,389.7320251464844,1.8310400999616832,0.455,187.16399233921103,0.49,223.01965243403808,ok,,,,80,,,,,,,,,
lh_q5_train1000,LH,rff,0,0,jgp_pca,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,913.1933900043631,530.5315551757812,49.33187310001813,0.555,252.3863371524477,0.57,300.7368697758144,ok,,,,,,0,0.531067609850638,,,,,,
lh_q5_train1000,LH,rff,0,0,lmjgp_baseline,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,757.8069458007812,385.9803161621094,231.1411051750183,0.765,921.401591401189,0.8,1097.917714290027,ok,,,,,300,,,,,,,,
lh_q5_train1000,LH,rff,0,0,lmjgp_pls_kl,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,738.6017456054688,370.9285888671875,233.0020965000149,0.77,1022.0698887349243,0.81,1217.8713891497,ok,,,,,300,,,True,,,,,
lh_q5_train1000,LH,rff,0,0,cem_em_transductive_vi_fullcov_ensemble,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,808.6998352121133,416.2069091796875,664.8444224000559,0.68,430.22133282591176,0.71,512.6403370507837,ok,137.83395450003445,430.05984020000324,96.95062770001823,,,,,,0.003747682785615325,473.4008483886719,54211.2265625,0.0028960963245481253,
lh_q5_train1000,LH,rff,0,1,xgb_bootstrap,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,589.7560416972142,254.60198974609375,10.337613000010606,0.83,356.6387884566347,0.83,424.9613275076091,ok,,,,,,,,,,,,,30
lh_q5_train1000,LH,rff,0,1,dkl_svgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,537.395263671875,234.2217559814453,1.7868643999681808,0.725,91.35229679104319,0.74,108.85297553637034,ok,,,,80,,,,,,,,,
lh_q5_train1000,LH,rff,0,1,jgp_pca,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,621.6658264586575,268.76751708984375,43.72479830001248,0.31,67.63891393791904,0.39,80.59673705886344,ok,,,,,,0,0.5447334324322617,,,,,,
lh_q5_train1000,LH,rff,0,1,lmjgp_baseline,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,605.147216796875,251.52493286132812,305.75981163978577,0.625,186.3279378952553,0.695,222.02343211849248,ok,,,,,300,,,,,,,,
lh_q5_train1000,LH,rff,0,1,lmjgp_pls_kl,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,593.6439819335938,243.20606994628906,354.95716439996613,0.655,232.08581863582202,0.695,276.54730998269326,ok,,,,,300,,,True,,,,,
lh_q5_train1000,LH,rff,0,1,cem_em_transductive_vi_fullcov_ensemble,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,613.0620744417031,260.7027893066406,558.1331781999907,0.49,170.28658989231982,0.545,202.90898701890146,ok,209.44963930000085,250.35289729997749,98.33064160001231,,,,,,0.0032511272002011538,476.9222412109375,35376.140625,0.0036808715667575598,
lh_q5_train1000,LH,rff,0,2,xgb_bootstrap,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,514.3964580680268,211.4163818359375,9.95511549996445,0.805,361.1801433658834,0.81,430.3726856475052,ok,,,,,,,,,,,,,30
lh_q5_train1000,LH,rff,0,2,dkl_svgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,513.787353515625,234.12771606445312,2.0414835999836214,0.635,105.62955794238503,0.64,125.86538150124983,ok,,,,80,,,,,,,,,
lh_q5_train1000,LH,rff,0,2,jgp_pca,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,514.9449746646698,198.20718383789062,62.81317089998629,0.3,83.98525524633033,0.355,100.07460409732096,ok,,,,,,0,0.5574711470990341,,,,,,
lh_q5_train1000,LH,rff,0,2,lmjgp_baseline,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,526.034912109375,206.78253173828125,337.44404315948486,0.635,293.93473579236075,0.685,350.2448403424532,ok,,,,,300,,,,,,,,
lh_q5_train1000,LH,rff,0,2,lmjgp_pls_kl,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,503.2936706542969,192.5712127685547,343.02557390002767,0.7,473.3896438205768,0.77,564.0785522430855,ok,,,,,300,,,True,,,,,
lh_q5_train1000,LH,rff,0,2,cem_em_transductive_vi_fullcov_ensemble,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,521.8744826858405,204.08578491210938,960.6277063999441,0.575,299.17204044820693,0.64,356.4854737540396,ok,189.23973699996714,618.0585938000004,153.32937559997663,,,,,,0.0026647213380783796,251.93258666992188,30835.646484375,0.0036440000403672457,
lh_q5_train1000,LH,rff,0,3,xgb_bootstrap,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,678.113680189678,385.4965515136719,11.039580499986187,0.66,678.1264808258096,0.705,808.0375406076729,ok,,,,,,,,,,,,,30
lh_q5_train1000,LH,rff,0,3,dkl_svgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,541.10693359375,325.6880187988281,2.443972999986727,0.455,195.4089114988136,0.47,232.84407957058232,ok,,,,80,,,,,,,,,
lh_q5_train1000,LH,rff,0,3,jgp_pca,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,828.4346782229187,448.5410461425781,62.808233299991116,0.195,337.9145649069079,0.21,402.650039016877,ok,,,,,,0,0.5256153777439906,,,,,,
lh_q5_train1000,LH,rff,0,3,lmjgp_baseline,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,642.3478393554688,297.4561767578125,342.09990882873535,0.545,921.43218890051,0.57,1097.9541734592221,ok,,,,,300,,,,,,,,
lh_q5_train1000,LH,rff,0,3,lmjgp_pls_kl,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,4526.8515625,2.1554555367981056e+16,340.99601000000257,0.69,3.034219208655116e+17,0.735,3.615495186149535e+17,ok,,,,,300,,,True,,,,,
lh_q5_train1000,LH,rff,0,3,cem_em_transductive_vi_fullcov_ensemble,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,578.2368406240275,243.79107666015625,778.840727999981,0.34,441.97672608315946,0.365,526.6477520759203,ok,326.2328200000338,344.99630269996123,107.61160529998597,,,,,,0.0027384781278669834,477.4956970214844,71382.03125,0.002822463633492589,
lh_q5_train1000,LH,rff,0,4,xgb_bootstrap,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,470.1976514172794,183.43141174316406,19.482118599989917,0.845,455.74988062084014,0.85,543.0594779614571,ok,,,,,,,,,,,,,30
lh_q5_train1000,LH,rff,0,4,dkl_svgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,393.3810729980469,158.65634155273438,3.7071415000245906,0.71,111.20782234864117,0.715,132.51229351418496,ok,,,,80,,,,,,,,,
lh_q5_train1000,LH,rff,0,4,jgp_pca,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,520.0108732281877,192.3861083984375,114.85456850001356,0.53,81.89590209546562,0.595,97.58498626167818,ok,,,,,,0,0.4999985520418483,,,,,,
lh_q5_train1000,LH,rff,0,4,lmjgp_baseline,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,447.90496826171875,151.70712280273438,558.200089931488,0.825,375.78706803428986,0.845,447.7779099214892,ok,,,,,300,,,,,,,,
lh_q5_train1000,LH,rff,0,4,lmjgp_pls_kl,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,436.0863342285156,146.9656219482422,550.1033870000392,0.805,421.3897914347342,0.84,502.11690641169173,ok,,,,,300,,,True,,,,,
lh_q5_train1000,LH,rff,0,4,cem_em_transductive_vi_fullcov_ensemble,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,399.0340910028929,125.15911865234375,1579.8473862999817,0.645,217.12000878535954,0.7,258.7144476381299,ok,335.1543251000112,1025.0828987999703,219.61016240000026,,,,,,0.0032808149699121714,667.227783203125,112270.0,0.0027270473074167967,
