setting,family,expansion,caseno,seed,method,N_train,N_test,d,D,Q_true,Q,n,standardize_x,noise_std,noise_var,lengthscale,kernel_var,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,error,cem_jgp_elapsed_sec,cem_map_train_time_sec,cem_vi_train_time_sec,dkl_epochs,lmjgp_steps,n_bad_sig2,pca_explained_variance_sum,truth_diag_skipped,vi_anchor_var_mean,vi_best_loss,vi_kl,vi_query_var_mean,xgb_boots
l2_q2_train500,L2_phantom,rff,6,1,cem_em_transductive_vi_fullcov_ensemble,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.5940019570159194,1.3668326139450073,314.80223670002306,0.815,6.0381385980194455,0.875,7.194885910737903,ok,,32.215238599979784,205.5884151000064,76.99858300003689,,,,,,0.006470908876508474,573.4631958007812,102465.09375,0.010962833650410175,
l2_q2_train500,L2_phantom,rff,6,2,xgb_bootstrap,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.283978796970853,1.2663373947143555,5.716684899991378,0.785,5.20034760465578,0.84,6.1965963689455865,ok,,,,,,,,,,,,,,30
l2_q2_train500,L2_phantom,rff,6,2,dkl_svgp,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.287106990814209,1.4380059242248535,1.1271179000032134,0.37,2.071367169648445,0.445,2.468186217149275,ok,,,,,80,,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,2,jgp_pca,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4296103588701663,1.3166710138320923,9.320796100015286,0.8,5.731441292731929,0.84,6.829433530860729,ok,,,,,,,0,0.7719902007646877,,,,,,
l2_q2_train500,L2_phantom,rff,6,2,lmjgp_baseline,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.1029117107391357,1.145121455192566,59.10798096656799,0.895,6.486871024268214,0.95,7.729583576069319,ok,,,,,,300,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,2,lmjgp_pls_kl,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.1202828884124756,1.1389271020889282,58.60017109999899,0.88,6.305999577367135,0.93,7.5140619539935685,ok,,,,,,300,,,True,,,,,
l2_q2_train500,L2_phantom,rff,6,2,cem_em_transductive_vi_fullcov_ensemble,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.314421912538711,1.2145724296569824,318.1647745000664,0.855,6.066455898779973,0.92,7.2286280557656575,ok,,32.872384800051805,208.11409739998635,77.17829230002826,,,,,,0.005856862757354975,838.4285888671875,152855.765625,0.0025022225454449654,
l2_q2_train500,L2_phantom,rff,6,3,xgb_bootstrap,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.327282010042549,1.3064213991165161,4.287372799997684,0.745,4.90376889925886,0.785,5.843201044501541,ok,,,,,,,,,,,,,,30
l2_q2_train500,L2_phantom,rff,6,3,dkl_svgp,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4488461017608643,1.4950021505355835,1.1218752000131644,0.39,1.9143557267796358,0.465,2.2810955434618636,ok,,,,,80,,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,3,jgp_pca,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.3175098716807927,1.267135500907898,9.619709299993701,0.82,6.036811480322916,0.855,7.19330455246637,ok,,,,,,,0,0.8569008166547493,,,,,,
l2_q2_train500,L2_phantom,rff,6,3,lmjgp_baseline,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.300053834915161,1.2380623817443848,55.75302743911743,0.87,7.000806138137222,0.9,8.341975035752357,ok,,,,,,300,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,3,lmjgp_pls_kl,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.294691324234009,1.2532364130020142,58.35097189998487,0.845,6.9038759981237,0.885,8.226475650074473,ok,,,,,,300,,,True,,,,,
l2_q2_train500,L2_phantom,rff,6,3,cem_em_transductive_vi_fullcov_ensemble,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.3529870047556125,1.2684379816055298,313.77605849999236,0.845,6.631721595032124,0.89,7.902183676884071,ok,,31.033372800040524,205.86379129998386,76.87889439996798,,,,,,0.006435967981815338,144.29214477539062,19001.6015625,0.004020954482257366,
l2_q2_train500,L2_phantom,rff,6,4,xgb_bootstrap,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.2780943120093697,1.2934640645980835,4.328404100029729,0.75,4.971810830605392,0.79,5.924278006422411,ok,,,,,,,,,,,,,,30
l2_q2_train500,L2_phantom,rff,6,4,dkl_svgp,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.3405635356903076,1.5106877088546753,1.1231682000216097,0.43,2.4638809618576287,0.49,2.9358952482507625,ok,,,,,80,,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,4,jgp_pca,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.3584441237633937,1.3051135540008545,9.121804199996404,0.785,5.798644000635372,0.85,6.909510496370682,ok,,,,,,,0,0.6773315952529488,,,,,,
l2_q2_train500,L2_phantom,rff,6,4,lmjgp_baseline,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4581706523895264,1.3345696926116943,56.436803102493286,0.82,6.862323209770656,0.91,8.17696244884202,ok,,,,,,300,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,4,lmjgp_pls_kl,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.3096280097961426,1.2712290287017822,58.862933000025805,0.83,6.805195292453641,0.915,8.108890336759528,ok,,,,,,300,,,True,,,,,
l2_q2_train500,L2_phantom,rff,6,4,cem_em_transductive_vi_fullcov_ensemble,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4182618033045626,1.3268243074417114,318.32399900001474,0.785,6.224686568965105,0.87,7.417171528407216,ok,,32.653154300001916,206.78127030003816,78.88957439997466,,,,,,0.008299564942717552,1216.75439453125,230724.359375,0.0038287932984530926,
lh_q5_train200,LH,rff,0,0,xgb_bootstrap,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,882.1715315679846,533.6972045898438,3.2810624999692664,0.615,898.9017943920279,0.63,1071.1075525377323,ok,,,,,,,,,,,,,,30
lh_q5_train200,LH,rff,0,0,dkl_svgp,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,765.8496704101562,465.0387878417969,0.909287599963136,0.455,201.9028059664675,0.475,240.58203209563152,ok,,,,,80,,,,,,,,,
lh_q5_train200,LH,rff,0,0,jgp_pca,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,1008.6618890757142,636.6718139648438,32.33842960000038,0.255,281.3368880377534,0.28,335.2335788677702,ok,,,,,,,0,0.5004226146202712,,,,,,
lh_q5_train200,LH,rff,0,0,lmjgp_baseline,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,783.3361206054688,425.1103820800781,173.44562292099,0.745,1486.1587743928644,0.79,1770.867404485553,ok,,,,,,300,,,,,,,,
lh_q5_train200,LH,rff,0,0,lmjgp_pls_kl,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,831.28369140625,467.2977294921875,172.8256200000178,0.735,1431.6041325507686,0.77,1705.8615392535432,ok,,,,,,300,,,True,,,,,
lh_q5_train200,LH,rff,0,0,cem_em_transductive_vi_fullcov_ensemble,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,811.6287571671747,428.0631103515625,353.74770520004677,0.5,587.4856891997571,0.53,700.0323757672492,ok,,97.22996210004203,176.9109058000031,79.60683730000164,,,,,,0.009212507866322994,7133.10791015625,28694.685546875,0.009209862910211086,
lh_q5_train200,LH,rff,0,1,xgb_bootstrap,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,570.4761660606946,227.34210205078125,2.967223700019531,0.79,151.90048055741806,0.805,181.00058646473698,ok,,,,,,,,,,,,,,30
lh_q5_train200,LH,rff,0,1,dkl_svgp,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,518.5944213867188,212.8748779296875,0.9098919000243768,0.655,65.8868246149367,0.665,78.50899386124703,ok,,,,,80,,,,,,,,,
lh_q5_train200,LH,rff,0,1,jgp_pca,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,574.742758608842,228.10879516601562,34.88006889994722,0.505,17.723072167936643,0.525,21.118343040006465,ok,,,,,,,0,0.5651906149236983,,,,,,
lh_q5_train200,LH,rff,0,1,lmjgp_baseline,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,568.1085815429688,222.99221801757812,168.27674007415771,0.675,68.731796533627,0.71,81.89898699273029,ok,,,,,,300,,,,,,,,
lh_q5_train200,LH,rff,0,1,lmjgp_pls_kl,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,563.544677734375,220.29608154296875,169.38470530003542,0.7,97.54379033727993,0.725,116.23059513868539,ok,,,,,,300,,,True,,,,,
lh_q5_train200,LH,rff,0,1,cem_em_transductive_vi_fullcov_ensemble,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,561.6184422238788,217.47543334960938,491.12599229998887,0.585,20.291360257884286,0.605,24.17864705474727,ok,,98.7233441999997,314.8927230000263,77.50992509996286,,,,,,0.0032924048136919737,237.82774353027344,31792.853515625,0.003049752674996853,
lh_q5_train200,LH,rff,0,2,xgb_bootstrap,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,398.07960646786074,127.83871459960938,3.249829599983059,0.885,225.84187819975415,0.89,269.10719605657584,ok,,,,,,,,,,,,,,30
lh_q5_train200,LH,rff,0,2,dkl_svgp,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,377.1407775878906,125.13902282714844,0.9505740000167862,0.74,63.26017325346218,0.745,75.3791457190907,ok,,,,,80,,,,,,,,,
lh_q5_train200,LH,rff,0,2,jgp_pca,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,428.95829149013355,140.34164428710938,29.374188099987805,0.445,30.829800274342393,0.505,36.73597285386712,ok,,,,,,,0,0.5968042335211102,,,,,,
lh_q5_train200,LH,rff,0,2,lmjgp_baseline,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,386.7625427246094,118.60923767089844,155.06507444381714,0.625,80.36927350943974,0.67,95.76589610231517,ok,,,,,,300,,,,,,,,
lh_q5_train200,LH,rff,0,2,lmjgp_pls_kl,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,392.8947448730469,121.55950927734375,159.2151678999653,0.73,122.8608236446935,0.755,146.3977009922906,ok,,,,,,300,,,True,,,,,
lh_q5_train200,LH,rff,0,2,cem_em_transductive_vi_fullcov_ensemble,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,385.6265206454952,116.07710266113281,457.94991559995105,0.455,60.45903820863976,0.525,72.04138744459902,ok,,83.45865570002934,297.033330599952,77.45792929996969,,,,,,0.0030278877820819616,1020.1156005859375,182513.875,0.0024634741712361574,
lh_q5_train200,LH,rff,0,3,xgb_bootstrap,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,817.3337517701419,463.8808898925781,3.2297791999881156,0.685,943.8570714445855,0.715,1124.6750691205511,ok,,,,,,,,,,,,,,30
lh_q5_train200,LH,rff,0,3,dkl_svgp,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,694.8388671875,421.3346862792969,0.9353485999745317,0.45,213.86632295605494,0.46,254.83744184384264,ok,,,,,80,,,,,,,,,
lh_q5_train200,LH,rff,0,3,jgp_pca,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,978.8044871390705,567.8169555664062,33.68317700002808,0.385,336.21757489675946,0.455,400.62795070001,ok,,,,,,,0,0.5907242157199134,,,,,,
lh_q5_train200,LH,rff,0,3,lmjgp_baseline,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,830.0525512695312,445.6522216796875,181.7203710079193,0.595,863.43467083417,0.655,1028.845868172863,ok,,,,,,300,,,,,,,,
lh_q5_train200,LH,rff,0,3,lmjgp_pls_kl,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,756.2449340820312,406.5615234375,172.54488809994655,0.76,1500.7816542171674,0.8,1788.2916405004078,ok,,,,,,300,,,True,,,,,
lh_q5_train200,LH,rff,0,3,cem_em_transductive_vi_fullcov_ensemble,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,,,,,,,,error,ValueError: arange: cannot compute length,,,,,,,,,,,,,
lh_q5_train200,LH,rff,0,4,xgb_bootstrap,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,440.09577830935785,165.01687622070312,3.2726928999763913,0.905,612.6570590954843,0.905,730.025912960341,ok,,,,,,,,,,,,,,30
lh_q5_train200,LH,rff,0,4,dkl_svgp,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,409.1295166015625,162.0478057861328,0.9036151999607682,0.67,108.45107624448374,0.71,129.2274279248476,ok,,,,,80,,,,,,,,,
lh_q5_train200,LH,rff,0,4,jgp_pca,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,414.64237699103444,134.5924835205078,32.12192569999024,0.56,86.83906800249882,0.59,103.4751317364142,ok,,,,,,,0,0.5951516427612701,,,,,,
lh_q5_train200,LH,rff,0,4,lmjgp_baseline,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,436.6362609863281,145.8686065673828,169.0588822364807,0.775,290.5691364731399,0.8,346.23448139988204,ok,,,,,,300,,,,,,,,
lh_q5_train200,LH,rff,0,4,lmjgp_pls_kl,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,480.8749084472656,189.6670684814453,165.34055720001925,0.8,685.4228306507099,0.83,816.7316776670987,ok,,,,,,300,,,True,,,,,
lh_q5_train200,LH,rff,0,4,cem_em_transductive_vi_fullcov_ensemble,200,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,443.33572287328775,159.39306640625,491.71884789998876,0.645,324.55243227350286,0.67,386.7280759382171,ok,,95.767590799951,319.8706612000242,76.08059590001358,,,,,,0.008596232160925865,941.305419921875,160380.59375,0.008610032498836517,
lh_q5_train500,LH,rff,0,0,xgb_bootstrap,500,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,779.6718988912254,459.314208984375,5.3196427000220865,0.64,764.1536296432937,0.67,910.5452109633834,ok,,,,,,,,,,,,,,30
lh_q5_train500,LH,rff,0,0,dkl_svgp,500,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,658.6660766601562,383.3534240722656,1.1136434000218287,0.43,187.55272397562513,0.465,223.48285474854126,ok,,,,,80,,,,,,,,,
lh_q5_train500,LH,rff,0,0,jgp_pca,500,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,896.5641002981904,511.1254577636719,31.3721570999478,0.435,384.3793840898587,0.49,458.0162859914087,ok,,,,,,,0,0.5320110923851603,,,,,,
lh_q5_train500,LH,rff,0,0,lmjgp_baseline,500,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,750.2637939453125,387.0012512207031,173.6131362915039,0.78,1189.713423282971,0.82,1417.630981475335,ok,,,,,,300,,,,,,,,
lh_q5_train500,LH,rff,0,0,lmjgp_pls_kl,500,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,723.8635864257812,376.21002197265625,172.3680559999775,0.805,1367.576714111508,0.85,1629.5681645071177,ok,,,,,,300,,,True,,,,,
