setting,family,seed,variant,status,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,ensemble_samples,neighbor_mode,retrieval_lambda,qr_retrieval_pool,qr_anchor_pred_weight,qr_retrieval_composite_temperature,qr_rank_weight,qr_rank_temperature,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,qr_pairwise_weight,qr_pairwise_margin,qr_ortho_weight,qr_ortho_target_scale,qr_ortho_normalize,qr_mean_parameterization,qr_residual_group_weight,qr_residual_group_eps,lowrank_rank,lowrank_train_basis_scale,w_moment_kind,lowrank_basis,lowrank_qr_w_signal_var,lowrank_basis_scale_l1,standardize_x,standardize_y_for_head,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,init_sec,train_sec,pred_sec,init_inlier_rate,final_inlier_rate,label_change_rate,mean_n_inliers,min_n_inliers,median_n_inliers,max_n_inliers,gate_norm_mean,mean_lengthscale,mean_signal_var,mean_noise_var,mean_kernel_vector_correction,Q_true,expansion,fallback_count,history_json,meanw_cem_failed,meanw_cem_inlier_rate,n_total_neighbors,noise_std,noise_var,qr_history_json,qr_train_anchor_count,qr_train_anchor_strategy,qr_train_n_neighbors,refresh_history_json
lh_q5_train200,LH,2,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,5,30,5,35,40,0.02,7.763006900676085,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,406.5709172735275,129.24462890625,0.6106790999765508,0.84,210.16231742619718,0.85,250.42384703023396,29.326656399993226,108.42342979999376,0.6106790999765508,0.7904285714285715,0.8461428571428572,0.07200000000000001,29.615000000000002,2.0,33.0,34.0,4.271470879459224,11.752518551360243,3.5910132580277163,0.01494915641151036,0.2776752151573039,5,rff,0,"[{""changed_frac"": 0.068, ""inlier_frac"": 0.843857142857143, ""mean_lengthscale"": 8.673067267960086, ""mean_noise_var"": 0.015316036103030431, ""mean_outlier_logp"": null, ""mean_signal_var"": 3.2911872303798315, ""outer"": 1.0}, {""changed_frac"": 0.004571428571428572, ""inlier_frac"": 0.8461428571428572, ""mean_lengthscale"": 10.36113817069294, ""mean_noise_var"": 0.014501004690172948, ""mean_outlier_logp"": null, ""mean_signal_var"": 3.546899058922851, ""outer"": 2.0}]",0,0.7904285714285715,35,2.0,4.0,[],0,kmeans,35,[]
lh_q5_train500,LH,2,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,5,30,5,35,40,0.02,7.756398384212551,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,532.1276684442636,201.92152404785156,0.8452537999837659,0.8,217.11827471287117,0.815,258.71238136331493,31.329771799995797,111.42082900000969,0.8452537999837659,0.7672857142857143,0.8415714285714286,0.09257142857142858,29.455000000000002,2.0,33.0,34.0,4.219884849408801,11.712967568968566,1.936550794803388,0.012081994985552447,0.3374388864233465,5,rff,0,"[{""changed_frac"": 0.08542857142857144, ""inlier_frac"": 0.8347142857142857, ""mean_lengthscale"": 9.08823600198527, ""mean_noise_var"": 0.012395594412772664, ""mean_outlier_logp"": null, ""mean_signal_var"": 2.0244376383613325, ""outer"": 1.0}, {""changed_frac"": 0.009714285714285715, ""inlier_frac"": 0.8415714285714286, ""mean_lengthscale"": 10.423273840004613, ""mean_noise_var"": 0.01196630693541976, ""mean_outlier_logp"": null, ""mean_signal_var"": 2.0075842704550904, ""outer"": 2.0}]",0,0.7672857142857143,35,2.0,4.0,[],0,kmeans,35,[]
l2_q2_train200,L2_phantom,3,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,2,20,2,25,40,0.02,6.029626732991559,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,3.044260499739242,1.6102821826934814,0.6752287000126671,0.735,5.215588057432235,0.81,6.214756488521268,11.74840170002426,108.6506478000083,0.6752287000126671,0.8412000000000001,0.8432000000000001,0.0284,21.080000000000002,3.0,24.0,24.0,4.194427551721065,3.1625662892749653,0.07873803751001171,0.1748765962883909,0.015663013722957347,2,rff,0,"[{""changed_frac"": 0.0264, ""inlier_frac"": 0.8404, ""mean_lengthscale"": 2.4471711168597428, ""mean_noise_var"": 0.1809106821142766, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.12208703586864086, ""outer"": 1.0}, {""changed_frac"": 0.0032, ""inlier_frac"": 0.8432000000000001, ""mean_lengthscale"": 2.7036455243520936, ""mean_noise_var"": 0.1744796277061222, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.09092543940587267, ""outer"": 2.0}]",0,0.8412000000000001,25,2.0,4.0,[],0,kmeans,25,[]
l2_q2_train500,L2_phantom,3,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,2,20,2,25,40,0.02,5.775517428786091,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,2.2458028882992713,1.2330893278121948,0.6576608000032138,0.835,6.200100029842508,0.87,7.387874860062272,11.143874000001233,103.29321779997554,0.6576608000032138,0.9214,0.9086000000000001,0.0264,22.715,11.0,24.0,24.0,4.883653750096685,2.4073958757768894,0.05857159583521142,0.27807543879495933,0.011462329165777926,2,rff,0,"[{""changed_frac"": 0.0256, ""inlier_frac"": 0.9086000000000001, ""mean_lengthscale"": 1.824421868485544, ""mean_noise_var"": 0.3028817515772256, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.05149390542865085, ""outer"": 1.0}, {""changed_frac"": 0.0036000000000000003, ""inlier_frac"": 0.9086000000000001, ""mean_lengthscale"": 1.9179271215855191, ""mean_noise_var"": 0.27871488042678955, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.051950085919777574, ""outer"": 2.0}]",0,0.9214,25,2.0,4.0,[],0,kmeans,25,[]
lh_q5_train200,LH,3,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,5,30,5,35,40,0.02,7.76128948796091,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,736.3033749954785,351.0243835449219,0.6445792999875266,0.76,277.2047546596038,0.765,330.3098382577931,30.007822599989595,108.34863849999965,0.6445792999875266,0.5291428571428571,0.5577142857142857,0.05428571428571429,19.52,2.0,27.0,33.0,3.13681367715742,15.7603356739032,0.32315560052496833,0.011489137614763414,0.15424391067557172,5,rff,0,"[{""changed_frac"": 0.053142857142857144, ""inlier_frac"": 0.5574285714285715, ""mean_lengthscale"": 10.489347240512707, ""mean_noise_var"": 0.014770746718877242, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.8023450880154717, ""outer"": 1.0}, {""changed_frac"": 0.002285714285714286, ""inlier_frac"": 0.5577142857142857, ""mean_lengthscale"": 13.319784917382046, ""mean_noise_var"": 0.012682026050539905, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.44857977852074515, ""outer"": 2.0}]",0,0.5291428571428571,35,2.0,4.0,[],0,kmeans,35,[]
lh_q5_train500,LH,3,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,5,30,5,35,40,0.02,7.780963165875227,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,842.1567125728438,449.61553955078125,0.719006300001638,0.7,275.7735306124354,0.705,328.604429618207,28.421199100004742,113.91580640000757,0.719006300001638,0.5531428571428572,0.5802857142857143,0.059428571428571435,20.31,2.0,25.0,34.0,3.2871863202830025,14.422045459764512,0.3105492198028219,0.011886612499959766,0.19310299959402058,5,rff,0,"[{""changed_frac"": 0.05657142857142858, ""inlier_frac"": 0.5802857142857143, ""mean_lengthscale"": 9.958768128879663, ""mean_noise_var"": 0.013183237810956205, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.899610543170148, ""outer"": 1.0}, {""changed_frac"": 0.005428571428571429, ""inlier_frac"": 0.5802857142857143, ""mean_lengthscale"": 12.67987368784117, ""mean_noise_var"": 0.012118090988131712, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.4715136809010677, ""outer"": 2.0}]",0,0.5531428571428572,35,2.0,4.0,[],0,kmeans,35,[]
l2_q2_train200,L2_phantom,4,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,2,20,2,25,40,0.02,5.92456928019661,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,3.5709434452844926,1.8881627321243286,0.7539543999882881,0.685,5.708681011377788,0.75,6.802312982867171,12.41185870001209,105.77954479999607,0.7539543999882881,0.8328,0.8288000000000001,0.027200000000000002,20.72,5.0,24.0,24.0,4.270054980321723,2.2783829904504165,0.09307509851568983,0.17120084307429173,0.02244433182723831,2,rff,0,"[{""changed_frac"": 0.024200000000000003, ""inlier_frac"": 0.8266, ""mean_lengthscale"": 1.977001525064527, ""mean_noise_var"": 0.18252376737460999, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.10551592736670036, ""outer"": 1.0}, {""changed_frac"": 0.0034000000000000002, ""inlier_frac"": 0.8288000000000001, ""mean_lengthscale"": 2.028812634399517, ""mean_noise_var"": 0.17108642574206442, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.09426102436402016, ""outer"": 2.0}]",0,0.8328,25,2.0,4.0,[],0,kmeans,25,[]
l2_q2_train500,L2_phantom,4,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,2,20,2,25,40,0.02,6.094984909829447,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,2.3994067464402558,1.3421133756637573,0.8102789000258781,0.77,5.841468196426144,0.855,6.9605386730069,11.40324139999575,112.26549839999643,0.8102789000258781,0.9004000000000001,0.8982,0.0422,22.455000000000002,11.0,24.0,24.0,4.766391152562123,2.312553163140664,0.06782207963937543,0.1714891314688977,0.018884977180503047,2,rff,0,"[{""changed_frac"": 0.0368, ""inlier_frac"": 0.8932, ""mean_lengthscale"": 2.524899449598973, ""mean_noise_var"": 0.19299991021324794, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.07508132435343802, ""outer"": 1.0}, {""changed_frac"": 0.0082, ""inlier_frac"": 0.8982, ""mean_lengthscale"": 2.297457249993827, ""mean_noise_var"": 0.17205693636225874, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.06703486673452563, ""outer"": 2.0}]",0,0.9004000000000001,25,2.0,4.0,[],0,kmeans,25,[]
lh_q5_train200,LH,4,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,5,30,5,35,40,0.02,7.712769909403655,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,499.9269885300279,182.87588500976562,0.6552068000019062,0.79,244.90247344515765,0.81,291.8192961442443,33.56280960000004,119.33496290000039,0.6552068000019062,0.6747142857142857,0.7757142857142858,0.12614285714285714,27.150000000000002,2.0,32.0,34.0,3.654553521974587,13.510297706310505,0.8570990999527088,0.016358705411864644,0.22980515009456362,5,rff,0,"[{""changed_frac"": 0.12085714285714287, ""inlier_frac"": 0.7724285714285715, ""mean_lengthscale"": 9.498635349975881, ""mean_noise_var"": 0.015164244799209366, ""mean_outlier_logp"": null, ""mean_signal_var"": 1.4127241919809563, ""outer"": 1.0}, {""changed_frac"": 0.007571428571428572, ""inlier_frac"": 0.7757142857142858, ""mean_lengthscale"": 11.602207127973553, ""mean_noise_var"": 0.013653580218653972, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.9837781109602901, ""outer"": 2.0}]",0,0.6747142857142857,35,2.0,4.0,[],0,kmeans,35,[]
lh_q5_train500,LH,4,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,5,30,5,35,40,0.02,7.7133461916508566,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,479.5868607821718,166.51560974121094,0.7298623999813572,0.835,174.06144903646143,0.84,207.4070091212946,32.14461859999574,119.84156639999128,0.7298623999813572,0.7478571428571429,0.8305714285714286,0.10214285714285715,29.07,2.0,33.0,34.0,3.8512208386774196,11.597635548627677,0.6267626242356296,0.018342331672442053,0.1251128258514947,5,rff,0,"[{""changed_frac"": 0.09300000000000001, ""inlier_frac"": 0.8237142857142857, ""mean_lengthscale"": 8.707289850085276, ""mean_noise_var"": 0.02198767486523076, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.945708727470916, ""outer"": 1.0}, {""changed_frac"": 0.010285714285714287, ""inlier_frac"": 0.8305714285714286, ""mean_lengthscale"": 10.234240278628517, ""mean_noise_var"": 0.01827677611937077, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.6284026296097915, ""outer"": 2.0}]",0,0.7478571428571429,35,2.0,4.0,[],0,kmeans,35,[]
