setting,family,seed,method,final_neighbor_mode,status,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n_final,n_candidate,gp_neighbors,pair_neighbors,standardize_x,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,train_loss,train_gp_loss,train_pair_loss,train_smoothness,median_frob_W,anchor_dispersion_frob,cosine_to_ref_median,error,V_Rv,V_info,boundary_weighted,coeff_scale,global_w,kernel_var,lambda_coeff,lambda_gp,lambda_pair,lambda_smooth,lengthscale,log_amp,log_lengthscale,log_noise_var,median_eff_rank_WWT,median_trace_WWT,noise_std,noise_var,pair_tau,train_steps,use_gp_loss,use_pairwise_loss
lh_q5_train1000,LH,0,pls_static,raw,ok,1000,200,5,30,5,5,35,100,35,100,True,693.9855828071177,330.6526184082031,48.08537469996372,0.46,184.07611496436078,0.5,219.3402195992761,0.0,48.08537469996372,0.0,0.0,0.0,0.0,2.2360680103302,1.7228083493137092e-07,0.4472135889337865,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",,,,9.0,,,,,0.5,,,,5.0,5.0,2.0,4.0,,0,,
lh_q5_train1000,LH,0,pls_static,projected,ok,1000,200,5,30,5,5,35,100,35,100,True,679.0922281939766,314.6728820800781,43.461274300003424,0.5,254.27311786242922,0.535,302.9851076601437,0.0,43.461274300003424,0.0,0.0,0.0,0.0,2.2360680103302,1.7228083493137092e-07,0.4472135889337865,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",,,,9.0,,,,,0.5,,,,5.0,5.0,2.0,4.0,,0,,
lh_q5_train1000,LH,0,gp_localC,raw,ok,1000,200,5,30,5,5,35,100,35,100,True,810.0837724848922,426.92730712890625,52.10696949996054,0.465,93.55409042022367,0.485,111.47657446570582,1.2987351999618113,50.80823429999873,2.153501510620117,2.0820837020874023,0.0,7.140993118286133,2.2360680103302,1.5820727348327637,0.3417081255707318,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.5695054531097412,-0.0064543611370027065,-4.356056213378906,1.7907346487045288,5.000000953674316,2.0,4.0,0.05000000074505806,200,True,False
lh_q5_train1000,LH,0,gp_localC,projected,ok,1000,200,5,30,5,5,35,100,35,100,True,794.1703894722707,404.7216491699219,47.13611399999354,0.605,258.25494023733575,0.605,307.72974166269415,1.2987351999618113,45.83737880003173,2.153501510620117,2.0820837020874023,0.0,7.140993118286133,2.2360680103302,1.5820727348327637,0.3417081255707318,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.5695054531097412,-0.0064543611370027065,-4.356056213378906,1.7907346487045288,5.000000953674316,2.0,4.0,0.05000000074505806,200,True,False
lh_q5_train1000,LH,0,pairwise_localC,raw,ok,1000,200,5,30,5,5,35,100,35,100,True,706.6526648424997,317.8433532714844,39.53721579996636,0.58,199.47444913341187,0.6,237.6884664576836,2.3783866000012495,37.15882919996511,0.25193852186203003,0.0,0.2408774495124817,1.1058474779129028,2.2360680103302,0.48422345519065857,0.22308126032934072,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,2.0212478637695312,5.000000953674316,2.0,4.0,0.05000000074505806,200,False,True
lh_q5_train1000,LH,0,pairwise_localC,projected,ok,1000,200,5,30,5,5,35,100,35,100,True,642.1660386337522,272.7815246582031,36.13629120000405,0.64,264.91844001991745,0.645,315.669791385572,2.3783866000012495,33.7579046000028,0.25193852186203003,0.0,0.2408774495124817,1.1058474779129028,2.2360680103302,0.48422345519065857,0.22308126032934072,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,2.0212478637695312,5.000000953674316,2.0,4.0,0.05000000074505806,200,False,True
lh_q5_train1000,LH,0,pairwise_boundary_localC,raw,ok,1000,200,5,30,5,5,35,100,35,100,True,611.8874246074083,246.31781005859375,42.20030530006625,0.585,211.62129539712996,0.605,252.1623265097518,2.4573090000194497,39.7429963000468,0.2477707415819168,0.0,0.23704902827739716,1.0719151496887207,2.2360680103302,0.47624069452285767,0.22765876578345556,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.938198447227478,5.000000953674316,2.0,4.0,0.05000000074505806,200,False,True
lh_q5_train1000,LH,0,pairwise_boundary_localC,projected,ok,1000,200,5,30,5,5,35,100,35,100,True,652.1977275437748,275.54071044921875,35.70235069998307,0.615,252.25385290204702,0.62,300.57900505457144,2.4573090000194497,33.24504169996362,0.2477707415819168,0.0,0.23704902827739716,1.0719151496887207,2.2360680103302,0.47624069452285767,0.22765876578345556,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.938198447227478,5.000000953674316,2.0,4.0,0.05000000074505806,200,False,True
lh_q5_train1000,LH,0,gp_pairwise_boundary_localC,raw,ok,1000,200,5,30,5,5,35,100,35,100,True,772.6551713796523,404.2839050292969,51.03150530002313,0.46,64.85475972325646,0.47,77.27921269150823,3.1649777000420727,47.866527599981055,4.583574295043945,3.167192220687866,1.3581463098526,5.822906970977783,2.2360680103302,1.1697355508804321,0.31801834364689674,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.574496328830719,-0.2899208068847656,-4.289346218109131,1.5622588396072388,5.000000953674316,2.0,4.0,0.05000000074505806,200,True,True
lh_q5_train1000,LH,0,gp_pairwise_boundary_localC,projected,ok,1000,200,5,30,5,5,35,100,35,100,True,785.7993385658565,397.984375,45.906083600071725,0.585,258.3589285041498,0.61,307.85365132518984,3.1649777000420727,42.74110590002965,4.583574295043945,3.167192220687866,1.3581463098526,5.822906970977783,2.2360680103302,1.1697355508804321,0.31801834364689674,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.574496328830719,-0.2899208068847656,-4.289346218109131,1.5622588396072388,5.000000953674316,2.0,4.0,0.05000000074505806,200,True,True
l2_q2_train1000,L2_phantom,1,pls_static,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.2685455598267508,1.2211836576461792,18.9202352000284,0.785,5.66245256181192,0.86,6.747228387663308,0.0,18.9202352000284,0.0,0.0,0.0,0.0,1.4142135381698608,5.696900871043908e-07,0.7071067932878112,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",,,,9.0,,,,,0.5,,,,2.0,2.0,2.0,4.0,,0,,
l2_q2_train1000,L2_phantom,1,pls_static,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.3852880739360245,1.2853986024856567,18.825787299952935,0.81,5.7732888172474714,0.86,6.879297931892348,0.0,18.825787299952935,0.0,0.0,0.0,0.0,1.4142135381698608,5.696900871043908e-07,0.7071067932878112,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",,,,9.0,,,,,0.5,,,,2.0,2.0,2.0,4.0,,0,,
l2_q2_train1000,L2_phantom,1,pairwise_localC,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.2620183809584815,1.2110869884490967,20.392992699926253,0.8,5.74819054513657,0.89,6.849391496082174,2.7260291999555193,17.666963499970734,0.3512510061264038,0.0,0.34669309854507446,0.4556036591529846,1.4142135381698608,0.49736085534095764,0.47387009990933515,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.4323545694351196,2.0,2.0,4.0,0.5517448782920837,200,False,True
l2_q2_train1000,L2_phantom,1,pairwise_localC,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.3705380492734665,1.2414110898971558,20.569647999946028,0.795,5.681826735104474,0.88,6.770314139040483,2.7260291999555193,17.84361879999051,0.3512510061264038,0.0,0.34669309854507446,0.4556036591529846,1.4142135381698608,0.49736085534095764,0.47387009990933515,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.4323545694351196,2.0,2.0,4.0,0.5517448782920837,200,False,True
l2_q2_train1000,L2_phantom,1,pairwise_boundary_localC,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.261793566820656,1.2101376056671143,20.319029200007208,0.795,5.712246458696882,0.88,6.80656147538936,2.63044350000564,17.688585700001568,0.31331443786621094,0.0,0.30899885296821594,0.43135878443717957,1.4142135381698608,0.4387562870979309,0.4727629137924131,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.581695556640625,2.0,2.0,4.0,0.5517448782920837,200,False,True
l2_q2_train1000,L2_phantom,1,pairwise_boundary_localC,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.383254346095674,1.2524104118347168,19.845581800036598,0.815,5.767135747753803,0.875,6.871966097372633,2.63044350000564,17.215138300030958,0.31331443786621094,0.0,0.30899885296821594,0.43135878443717957,1.4142135381698608,0.4387562870979309,0.4727629137924131,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.581695556640625,2.0,2.0,4.0,0.5517448782920837,200,False,True
l2_q2_train1000,L2_phantom,2,pls_static,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.5642064564457665,1.4072253704071045,20.02276909997454,0.8,6.031273979697423,0.86,7.186706213494136,0.0,20.02276909997454,0.0,0.0,0.0,0.0,1.4142135381698608,6.210099172676564e-07,0.7071067932878112,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683777}",,,,9.0,,,,,0.5,,,,2.0,2.0,2.0,4.0,,0,,
l2_q2_train1000,L2_phantom,2,pls_static,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.9387660673942286,1.5848454236984253,18.965118899999652,0.77,6.57581804888788,0.84,7.835570493038732,0.0,18.965118899999652,0.0,0.0,0.0,0.0,1.4142135381698608,6.210099172676564e-07,0.7071067932878112,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683777}",,,,9.0,,,,,0.5,,,,2.0,2.0,2.0,4.0,,0,,
l2_q2_train1000,L2_phantom,2,pairwise_localC,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.528184030413935,1.3915355205535889,17.83278540003812,0.795,5.83614673315002,0.865,6.954197758414041,1.865582300000824,15.967203100037295,0.3487895727157593,0.0,0.3431240916252136,0.5662969350814819,1.4142135381698608,0.4779197573661804,0.3944762650638047,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683777}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.393867015838623,2.0,2.0,4.0,0.5459935665130615,200,False,True
l2_q2_train1000,L2_phantom,2,pairwise_localC,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.5436107444177383,1.3731189966201782,18.088210800022352,0.815,5.921181720985934,0.875,7.0555231960416345,1.865582300000824,16.22262850002153,0.3487895727157593,0.0,0.3431240916252136,0.5662969350814819,1.4142135381698608,0.4779197573661804,0.3944762650638047,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683777}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.393867015838623,2.0,2.0,4.0,0.5459935665130615,200,False,True
l2_q2_train1000,L2_phantom,2,pairwise_boundary_localC,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.4575106546175105,1.351479172706604,17.520532199996524,0.795,5.954233162507575,0.87,7.094906417720519,1.7906739999889396,15.729858200007584,0.30954235792160034,0.0,0.30479735136032104,0.47428202629089355,1.4142135381698608,0.5269956588745117,0.3887933327713643,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683777}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.4421943426132202,2.0,2.0,4.0,0.5459935665130615,200,False,True
l2_q2_train1000,L2_phantom,2,pairwise_boundary_localC,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.758917267262743,1.4616525173187256,17.57885009999154,0.79,5.838301205399882,0.88,6.956764970442048,1.7906739999889396,15.788176100002602,0.30954235792160034,0.0,0.30479735136032104,0.47428202629089355,1.4142135381698608,0.5269956588745117,0.3887933327713643,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683777}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.4421943426132202,2.0,2.0,4.0,0.5459935665130615,200,False,True
l2_q2_train1000,L2_phantom,3,pls_static,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.6377618714697126,1.4109388589859009,16.078771400032565,0.805,5.9354833745239866,0.855,7.07256466732799,0.0,16.078771400032565,0.0,0.0,0.0,0.0,1.4142135381698608,4.993843276679399e-07,0.7071067932878112,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683764}",,,,9.0,,,,,0.5,,,,2.0,1.9999998807907104,2.0,4.0,,0,,
l2_q2_train1000,L2_phantom,3,pls_static,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.7231913269124477,1.4336291551589966,16.638143999967724,0.815,6.000808853453461,0.875,7.150404776549075,0.0,16.638143999967724,0.0,0.0,0.0,0.0,1.4142135381698608,4.993843276679399e-07,0.7071067932878112,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683764}",,,,9.0,,,,,0.5,,,,2.0,1.9999998807907104,2.0,4.0,,0,,
